Event_ID,Official_Event_Name,Alternative_Event_Names,Edition,Year,Start_Date,End_Date,City,Province,Venue,Online_Hybrid_Physical,Host,Organisers,Sponsors,Industry_or_Theme,Estimated_Participant_Count,Verified_Participant_Count,Number_of_Finalists,Number_of_Winners,Official_Website,Results_URL,Participant_List_URL,Archive_URL,Other_Sources,Completeness_Status,Research_Notes,Date_Verified
E025,Discovery GradHack,Unknown,2018,2018,2018-07 (48 hours),Unknown,Johannesburg,Gauteng,Unknown,Physical,Discovery,Unknown,Unknown,Health,Unknown,Unknown,11 pitches,1,Unknown,https://www.news.uct.ac.za/article/-2018-07-13-uct-team-wins-national-hackathon,Unknown,Unknown,https://www.news.uct.ac.za/article/-2018-07-13-uct-team-wins-national-hackathon,B,,2026-08-26
E026,Discovery GradHack,Unknown,2021,2021,Unknown,Unknown,Unknown,Unknown,Unknown,Online,Discovery,Unknown,Unknown,Health,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.nwu.ac.za/sites/www.nwu.ac.za/files/files/i-media/I-eish-202110/students.html,Unknown,Unknown,https://www.nwu.ac.za/sites/www.nwu.ac.za/files/files/i-media/I-eish-202110/students.html,B,72-hour virtual competition (COVID era).,2026-08-26
E027,Discovery GradHack,Unknown,2024,2024,Unknown,Unknown,Sandton,Gauteng,Unknown,Online (72h) + finals in Sandton,Discovery,Unknown,Unknown,Health / Vitality,50 students,Unknown,16 teams,3 named teams,Unknown,https://sit.uct.ac.za/articles/2024-07-24-uct-wins-discovery-gradhack ; https://news.nwu.ac.za/students-it-prowess-lands-them-jobs-discovery,Unknown,Unknown,https://sit.uct.ac.za/articles/2024-07-24-uct-wins-discovery-gradhack ; https://news.nwu.ac.za/students-it-prowess-lands-them-jobs-discovery,A,,2026-08-26
E028,Discovery GradHack,Unknown,2025,2025,Unknown,Unknown,Sandton,Gauteng,Unknown,Finals at Discovery HQ,Discovery,Unknown,Unknown,Health / data,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.su.ac.za/en/faculties/economy/news/bdatsci-final-years-win-2025-discovery-gradhack,Unknown,Unknown,https://www.su.ac.za/en/faculties/economy/news/bdatsci-final-years-win-2025-discovery-gradhack,B,,2026-08-26
E029,Discovery GradHack — unverified interim editions,Unknown,2019/2020/2022/2023 (probable),2019-2023,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://thetechieguy.com/south-african-engineers-expose-discovery-vitality-cheaters/ ; https://news.nwu.ac.za/students-it-prowess-lands-them-jobs-discovery,Unknown,Unknown,https://thetechieguy.com/south-african-engineers-expose-discovery-vitality-cheaters/ ; https://news.nwu.ac.za/students-it-prowess-lands-them-jobs-discovery,E,"Series continuity suggests editions in these years (annual event since 2014); no per-year results located this pass. Existence probable, not individually verified.",2026-08-26
E030,Stellenbosch University Hackathon (InnovUS / LaunchLab),Unknown,2021,2021,2021-10 (weekend),Unknown,Stellenbosch,Western Cape,Unknown,Physical,"Stellenbosch University (InnovUS, LaunchLab)",Unknown,"Entersekt, Capitec (mentorship)",FinTech + data,Unknown,Unknown,2 challenge winners,Unknown,Unknown,https://www.matiemedia.org/su-hackathon-goes-in-a-new-direction/,Unknown,Unknown,https://www.matiemedia.org/su-hackathon-goes-in-a-new-direction/,B,,2026-08-26
E031,SU LaunchLab Annual Hackathon,Unknown,2024,2024,2024-08 (40 hours),Unknown,Stellenbosch,Western Cape,Unknown,Physical,"Stellenbosch University (InnovUS, LaunchLab)",Unknown,Unknown,Cloud cost management (data),49 participants,Unknown,9 teams,1,Unknown,https://www.smfnews.org/su-students-tackle-data-challenge-in-40-hours/,Unknown,Unknown,https://www.smfnews.org/su-students-tackle-data-challenge-in-40-hours/,B,,2026-08-26
E032,MiWay 24-hours Actuarial Hackathon,Unknown,2019 (2nd annual),2019,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,MiWay Insurance,Unknown,Unknown,Insurtech / data science,25 students from 5 universities,Unknown,Unknown,3 named,Unknown,https://www.miway.co.za/blog/in-the-news/two-north-west-university-students-win-miway-24-hour-hackathon ; https://news.nwu.ac.za/nwu-duo-wins-24-hour-hackathon-competition,Unknown,Unknown,https://www.miway.co.za/blog/in-the-news/two-north-west-university-students-win-miway-24-hour-hackathon ; https://news.nwu.ac.za/nwu-duo-wins-24-hour-hackathon-competition,B,Venue not stated in located sources; MiWay is Gauteng-based (not verified for this event — not inferred).,2026-08-26
E033,MiWay 24-hours Actuarial Hackathon,Unknown,2018 (1st annual — inferred),2018,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,MiWay Insurance,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.miway.co.za/blog/in-the-news/two-north-west-university-students-win-miway-24-hour-hackathon,Unknown,Unknown,https://www.miway.co.za/blog/in-the-news/two-north-west-university-students-win-miway-24-hour-hackathon,E,Existence inferred from 'second annual' phrasing in 2019 coverage; no independent 2018 coverage located.,2026-08-26
E034,NWU Geekulcha Hackathon,Unknown,2023 (annual Geekulcha Hackathon),2023,Unknown,Unknown,Pretoria,Gauteng,UNISA Pretoria campus,Physical,Geekulcha,Unknown,Unknown,Student innovation,Unknown,Unknown,top 10 incl. 2 NWU teams,Unknown,Unknown,https://news.nwu.ac.za/students-excel-annual-geekulcha-hackathon,Unknown,Unknown,https://news.nwu.ac.za/students-excel-annual-geekulcha-hackathon,C,Overall winners not located this pass; NWU top-10 teams fully named.,2026-08-26
E035,Geekulcha Annual Hackathon,Unknown,2025,2025,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Geekulcha,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.bloemfonteincourant.co.za/cut-students-take-first-place-at-hackathon/,Unknown,Unknown,https://www.bloemfonteincourant.co.za/cut-students-take-first-place-at-hackathon/,D,3rd place: Delight Chetter & Kabelo Makhetha (CUT). 1st/2nd and full results not located.,2026-08-26
E036,Standard Bank UniHack,Unknown,2024,2024,2024-07 (two days),Unknown,Unknown,Unknown,Unknown,Physical,Standard Bank,Unknown,Unknown,AI / education / health solutions,Unknown,Unknown,3,Unknown,Unknown,https://www.itweb.co.za/article/standard-bank-unihack-inspires-young-developers/Kjlyr7wBmLXvk6am,Unknown,Unknown,https://www.itweb.co.za/article/standard-bank-unihack-inspires-young-developers/Kjlyr7wBmLXvk6am,B,Participants from four Western Cape universities; event city not explicitly stated in located coverage.,2026-08-26
E037,Standard Bank UniHack,Unknown,2025 (3rd annual),2025,2025-04 (two days),Unknown,Cape Town,Western Cape,Unknown,Physical,Standard Bank,Unknown,Unknown,Unknown,13 teams,Unknown,3,Unknown,Unknown,https://www.standardbank.co.za/southafrica/news-and-media/newsroom/standard-bank-concludes-third-annual-unihack-competition ; https://www.itweb.co.za/article/standard-bank-announces-unihack-competition-winners/KPNG878NPjDq4mwD,Unknown,Unknown,https://www.standardbank.co.za/southafrica/news-and-media/newsroom/standard-bank-concludes-third-annual-unihack-competition ; https://www.itweb.co.za/article/standard-bank-announces-unihack-competition-winners/KPNG878NPjDq4mwD,B,,2026-08-26
E038,Standard Bank UniHack,Unknown,2023 (1st annual — inferred),2023,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Standard Bank,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.standardbank.co.za/southafrica/news-and-media/newsroom/standard-bank-concludes-third-annual-unihack-competition,Unknown,Unknown,https://www.standardbank.co.za/southafrica/news-and-media/newsroom/standard-bank-concludes-third-annual-unihack-competition,E,Existence inferred from 'third annual' phrasing (2025); no 2023 coverage located.,2026-08-26
E039,Kuunda Disrupt Hackathon (Standard Bank employee hackathon),Unknown,2024 (10th annual),2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Standard Bank Group,Unknown,Unknown,Banking innovation,230+ hackers in top 45,Unknown,Unknown,Unknown,Unknown,https://itweb.africa/content/6GxRKMYQlmBMb3Wj,Unknown,Unknown,https://itweb.africa/content/6GxRKMYQlmBMb3Wj,D,Internal employee hackathon across 20 African markets; overall winner Ghana-based team; SA individual winners not named publicly.,2026-08-26
E040,Kuunda Disrupt Hackathon,Unknown,2025 (11th annual),2025,Unknown,Unknown,Johannesburg,Gauteng,Unknown,Hybrid,Standard Bank Group,Unknown,Unknown,Generative AI in banking,244 participants,Unknown,Unknown,Unknown,Unknown,https://htxt.co.za/2025/09/the-winning-ai-solutions-at-this-years-standard-bank-hackathon/,Unknown,Unknown,https://htxt.co.za/2025/09/the-winning-ai-solutions-at-this-years-standard-bank-hackathon/,D,Two SA-based winners referenced without names.,2026-08-26
E041,Kuunda Disrupt school series (Standard Bank),Unknown,"2015-2024 (10 editions, consolidated)",2015-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Standard Bank,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://itweb.africa/content/6GxRKMYQlmBMb3Wj ; https://www.iol.co.za/dailynews/news/effingham-heights-primary-school-wins-prestigious-standard-bank-kuunda-disrupt-competition-d361b66e-fdf8-41e6-a574-af1a9137a840,Unknown,Unknown,https://itweb.africa/content/6GxRKMYQlmBMb3Wj ; https://www.iol.co.za/dailynews/news/effingham-heights-primary-school-wins-prestigious-standard-bank-kuunda-disrupt-competition-d361b66e-fdf8-41e6-a574-af1a9137a840,E,'10th annual' in 2024 implies editions since ~2015; only the 2024 schools competition edition independently covered here (separate row). Consolidated probable-editions row.,2026-08-26
E042,Standard Bank Kuunda Disrupt Competition (schools STEAM),Unknown,2024,2024,Unknown,Unknown,Durban,KwaZulu-Natal,Gordon Road Girls' School,Physical,Standard Bank,Unknown,Unknown,STEAM / sustainability,19 schools,Unknown,Unknown,1 team (12 pupils),Unknown,https://www.iol.co.za/dailynews/news/effingham-heights-primary-school-wins-prestigious-standard-bank-kuunda-disrupt-competition-d361b66e-fdf8-41e6-a574-af1a9137a840,Unknown,Unknown,https://www.iol.co.za/dailynews/news/effingham-heights-primary-school-wins-prestigious-standard-bank-kuunda-disrupt-competition-d361b66e-fdf8-41e6-a574-af1a9137a840,C,Schools competition (project showcase format) — included under youth innovation challenge scope; pupil names not published.,2026-08-26
E043,MTN MoMo API Hackathon (South Africa),Unknown,2023,2023,2023-07-31,2023-10-09,Unknown,Unknown,Unknown,Online/National,MTN (MoMo),Unknown,Unknown,Fintech / API,Unknown,Unknown,12,3,Unknown,https://www.iol.co.za/technology/techsperts/discover-the-future-mtn-momo-api-hackathon-unveils-trailblazing-innovations-695051ba-a05d-44d5-b2e0-41627d1cacd6,Unknown,Unknown,https://www.iol.co.za/technology/techsperts/discover-the-future-mtn-momo-api-hackathon-unveils-trailblazing-innovations-695051ba-a05d-44d5-b2e0-41627d1cacd6,C,SA open to the hackathon for the first time in 2023; winning developers not named in located coverage.,2026-08-26
E044,#SS19Hack,Unknown,2019,2019,Unknown,Unknown,Johannesburg,Gauteng,Unknown,Physical,Unknown,Unknown,"Micro Focus, MTN, Snode, Tshimologong Digital Precinct (trophy)",IoT security / CTF,50 developers,Unknown,3 + CTF,Unknown,Unknown,https://www.itweb.co.za/content/Pero37ZgwLBMQb6m,Unknown,Unknown,https://www.itweb.co.za/content/Pero37ZgwLBMQb6m,C,'SS' expansion and lead organiser not confirmed in located sources (coverage by ITWeb; Geekulcha figures pictured). 2nd-place team from Kimberley (Northern Cape residents — event held in JHB).,2026-08-26
E045,Absa Design Hackathon,Unknown,2021,2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Absa,Unknown,Unknown,Design,Unknown,Unknown,Unknown,2 named teams,Unknown,https://www.absa.co.za/offers/2021-absa-design-hackathon/,Unknown,Unknown,https://www.absa.co.za/offers/2021-absa-design-hackathon/,B,,2026-08-26
E046,Absa Technology Hackathon,Unknown,2024 (2nd annual),2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Absa,Unknown,Unknown,Banking technology,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.absa.africa/media-statements/2024/absa-hosts-hackathon-to-ignite-innovation-and-engagement-in-the-absa-technology-community/,Unknown,Unknown,https://www.absa.africa/media-statements/2024/absa-hosts-hackathon-to-ignite-innovation-and-engagement-in-the-absa-technology-community/,D,Internal multi-country employee hackathon; SA-based winning teams named as teams only.,2026-08-26
E047,Absa Technology Hackathon,Unknown,2025 (3rd annual),2025,2025-10 (24 hours),Unknown,Unknown,Unknown,Unknown,Unknown,Absa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://africabusiness.com/2025/10/30/absa-teams-build-real-world-banking-solutions-in-24-hours-at-2025-technology-hackathon/,Unknown,Unknown,https://africabusiness.com/2025/10/30/absa-teams-build-real-world-banking-solutions-in-24-hours-at-2025-technology-hackathon/,D,SA winners (Mighty Pythons; Hustle Hub) named as teams only.,2026-08-26
E048,Absa Technology Hackathon,Unknown,2023 (1st annual — inferred),2023,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Absa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.absa.africa/media-statements/2024/absa-hosts-hackathon-to-ignite-innovation-and-engagement-in-the-absa-technology-community/,Unknown,Unknown,https://www.absa.africa/media-statements/2024/absa-hosts-hackathon-to-ignite-innovation-and-engagement-in-the-absa-technology-community/,E,Existence inferred from 'second annual' phrasing in 2024 statement.,2026-08-26
